time,customers_present
07:00:00,1.2
07:01:00,0.8
07:02:00,2.4
07:03:00,2.0
07:04:00,2.4
07:06:00,1.6
07:07:00,1.4
07:08:00,0.6
07:09:00,1.2
07:10:00,1.4
07:11:00,3.8
07:12:00,1.8
07:13:00,2.6
07:14:00,1.8
07:15:00,1.4
07:16:00,1.8
07:17:00,1.0
07:18:00,2.6
07:19:00,2.8
07:20:00,0.4
07:21:00,2.6
07:22:00,0.8
07:23:00,0.6
07:24:00,1.6
07:25:00,3.0
07:26:00,3.4
07:27:00,2.0
07:28:00,1.2
07:29:00,1.8
07:30:00,1.6
07:31:00,2.2
07:32:00,1.8
07:33:00,1.2
07:34:00,2.0
07:35:00,2.0
07:36:00,0.8
07:37:00,2.0
07:38:00,1.2
07:39:00,1.4
07:40:00,1.8
07:41:00,1.6
07:42:00,1.8
07:43:00,1.6
07:44:00,0.6
07:45:00,1.2
07:46:00,2.0
07:47:00,2.0
07:48:00,2.6
07:49:00,2.0
07:50:00,0.6
07:51:00,0.8
07:52:00,3.4
07:53:00,0.4
07:54:00,1.0
07:55:00,2.4
07:56:00,1.8
07:57:00,0.2
07:58:00,0.4
07:59:00,1.8
08:00:00,2.2
08:01:00,3.2
08:02:00,1.8
08:03:00,4.0
08:04:00,2.4
08:05:00,2.0
08:06:00,2.2
08:07:00,2.4
08:08:00,1.0
08:09:00,3.4
08:10:00,1.8
08:11:00,0.4
08:12:00,2.0
08:13:00,2.6
08:14:00,1.4
08:15:00,3.4
08:16:00,3.6
08:17:00,1.6
08:18:00,1.8
08:19:00,2.0
08:20:00,5.2
08:21:00,3.0
08:22:00,1.4
08:23:00,2.8
08:24:00,1.8
08:25:00,3.4
08:26:00,3.2
08:27:00,3.0
08:28:00,2.2
08:29:00,1.0
08:30:00,1.4
08:31:00,2.2
08:32:00,2.2
08:33:00,3.2
08:34:00,2.0
08:35:00,2.0
08:36:00,1.0
08:37:00,2.2
08:38:00,2.2
08:39:00,3.2
08:40:00,3.0
08:41:00,2.0
08:42:00,3.4
08:43:00,2.0
08:44:00,1.8
08:45:00,1.4
08:46:00,2.0
08:47:00,3.6
08:48:00,2.4
08:49:00,2.0
08:50:00,2.0
08:51:00,2.0
