timestamp;customer_no;location
2019-09-05 07:00:00;1;drinks
2019-09-05 07:01:00;2;fruit
2019-09-05 07:01:00;3;dairy
2019-09-05 07:01:00;4;dairy
2019-09-05 07:02:00;1;checkout
2019-09-05 07:02:00;4;checkout
2019-09-05 07:03:00;5;dairy
2019-09-05 07:04:00;6;dairy
2019-09-05 07:04:00;7;fruit
2019-09-05 07:05:00;2;checkout
2019-09-05 07:05:00;7;checkout
2019-09-05 07:06:00;5;drinks
2019-09-05 07:07:00;6;fruit
2019-09-05 07:07:00;8;fruit
2019-09-05 07:07:00;9;fruit
2019-09-05 07:07:00;10;spices
2019-09-05 07:08:00;5;fruit
2019-09-05 07:08:00;6;drinks
2019-09-05 07:08:00;9;drinks
2019-09-05 07:08:00;11;spices
2019-09-05 07:08:00;12;dairy
2019-09-05 07:09:00;5;checkout
2019-09-05 07:09:00;8;checkout
2019-09-05 07:09:00;9;checkout
2019-09-05 07:09:00;10;checkout
2019-09-05 07:10:00;11;drinks
2019-09-05 07:10:00;12;fruit
2019-09-05 07:11:00;11;fruit
2019-09-05 07:11:00;13;fruit
2019-09-05 07:12:00;3;spices
2019-09-05 07:12:00;14;dairy
2019-09-05 07:12:00;15;fruit
2019-09-05 07:12:00;16;fruit
2019-09-05 07:12:00;17;spices
2019-09-05 07:12:00;18;fruit
2019-09-05 07:12:00;19;drinks
2019-09-05 07:12:00;20;dairy
2019-09-05 07:12:00;21;fruit
2019-09-05 07:12:00;22;fruit
2019-09-05 07:13:00;3;fruit
2019-09-05 07:13:00;13;drinks
2019-09-05 07:13:00;17;checkout
2019-09-05 07:13:00;20;spices
2019-09-05 07:13:00;21;checkout
2019-09-05 07:13:00;23;spices
2019-09-05 07:13:00;24;fruit
2019-09-05 07:14:00;3;drinks
2019-09-05 07:14:00;12;dairy
2019-09-05 07:14:00;13;fruit
2019-09-05 07:14:00;15;checkout
2019-09-05 07:14:00;19;checkout
2019-09-05 07:14:00;20;fruit
2019-09-05 07:14:00;25;fruit
2019-09-05 07:14:00;26;drinks
2019-09-05 07:14:00;27;spices
2019-09-05 07:14:00;28;fruit
2019-09-05 07:15:00;6;spices
2019-09-05 07:15:00;11;spices
2019-09-05 07:15:00;14;checkout
2019-09-05 07:15:00;16;checkout
2019-09-05 07:15:00;18;checkout
2019-09-05 07:15:00;22;drinks
2019-09-05 07:15:00;23;dairy
2019-09-05 07:15:00;28;checkout
2019-09-05 07:15:00;29;fruit
2019-09-05 07:15:00;30;dairy
2019-09-05 07:15:00;31;fruit
2019-09-05 07:16:00;3;fruit
2019-09-05 07:16:00;6;fruit
2019-09-05 07:16:00;24;checkout
2019-09-05 07:16:00;26;spices
2019-09-05 07:16:00;29;checkout
2019-09-05 07:16:00;31;drinks
2019-09-05 07:16:00;32;dairy
2019-09-05 07:16:00;33;fruit
2019-09-05 07:17:00;3;spices
2019-09-05 07:17:00;6;spices
2019-09-05 07:17:00;11;fruit
2019-09-05 07:17:00;20;dairy
2019-09-05 07:17:00;23;checkout
2019-09-05 07:17:00;25;checkout
2019-09-05 07:17:00;27;drinks
2019-09-05 07:17:00;34;dairy
2019-09-05 07:18:00;6;dairy
2019-09-05 07:18:00;13;spices
2019-09-05 07:18:00;31;checkout
