timestamp;customer_no;location
2019-09-04 07:00:00;1;fruit
2019-09-04 07:00:00;2;dairy
2019-09-04 07:00:00;3;fruit
2019-09-04 07:00:00;4;fruit
2019-09-04 07:00:00;5;dairy
2019-09-04 07:00:00;6;drinks
2019-09-04 07:01:00;3;spices
2019-09-04 07:01:00;5;checkout
2019-09-04 07:01:00;7;dairy
2019-09-04 07:02:00;1;checkout
2019-09-04 07:02:00;6;checkout
2019-09-04 07:03:00;3;drinks
2019-09-04 07:03:00;4;checkout
2019-09-04 07:03:00;8;fruit
2019-09-04 07:03:00;9;spices
2019-09-04 07:03:00;10;dairy
2019-09-04 07:03:00;11;dairy
2019-09-04 07:03:00;12;fruit
2019-09-04 07:03:00;13;dairy
2019-09-04 07:03:00;14;drinks
2019-09-04 07:04:00;9;checkout
2019-09-04 07:04:00;15;dairy
2019-09-04 07:04:00;16;drinks
2019-09-04 07:05:00;2;spices
2019-09-04 07:05:00;8;checkout
2019-09-04 07:06:00;2;checkout
2019-09-04 07:06:00;3;fruit
2019-09-04 07:06:00;10;checkout
2019-09-04 07:06:00;11;checkout
2019-09-04 07:06:00;14;checkout
2019-09-04 07:06:00;17;spices
2019-09-04 07:08:00;13;checkout
2019-09-04 07:08:00;17;dairy
2019-09-04 07:08:00;18;drinks
2019-09-04 07:08:00;19;dairy
2019-09-04 07:09:00;12;checkout
2019-09-04 07:09:00;17;checkout
2019-09-04 07:09:00;19;drinks
2019-09-04 07:10:00;15;drinks
2019-09-04 07:10:00;16;checkout
2019-09-04 07:10:00;20;spices
2019-09-04 07:11:00;3;checkout
2019-09-04 07:11:00;7;spices
2019-09-04 07:12:00;15;checkout
2019-09-04 07:12:00;20;fruit
2019-09-04 07:12:00;21;spices
2019-09-04 07:12:00;22;dairy
2019-09-04 07:13:00;21;dairy
2019-09-04 07:13:00;22;checkout
2019-09-04 07:13:00;23;dairy
2019-09-04 07:13:00;24;drinks
2019-09-04 07:13:00;25;dairy
2019-09-04 07:14:00;7;checkout
2019-09-04 07:14:00;23;drinks
2019-09-04 07:14:00;24;dairy
2019-09-04 07:14:00;26;drinks
2019-09-04 07:14:00;27;fruit
2019-09-04 07:15:00;24;spices
2019-09-04 07:15:00;27;dairy
2019-09-04 07:15:00;28;fruit
2019-09-04 07:15:00;29;spices
2019-09-04 07:15:00;30;drinks
2019-09-04 07:16:00;18;checkout
2019-09-04 07:16:00;20;dairy
2019-09-04 07:16:00;23;spices
2019-09-04 07:16:00;24;drinks
2019-09-04 07:16:00;26;checkout
2019-09-04 07:16:00;28;dairy
2019-09-04 07:16:00;29;drinks
2019-09-04 07:16:00;30;checkout
2019-09-04 07:17:00;20;spices
2019-09-04 07:17:00;25;spices
2019-09-04 07:17:00;31;fruit
2019-09-04 07:17:00;32;dairy
2019-09-04 07:17:00;33;fruit
2019-09-04 07:18:00;23;dairy
2019-09-04 07:18:00;25;dairy
2019-09-04 07:18:00;28;checkout
2019-09-04 07:18:00;29;dairy
2019-09-04 07:18:00;31;dairy
2019-09-04 07:19:00;19;spices
2019-09-04 07:19:00;20;drinks
2019-09-04 07:19:00;25;checkout
2019-09-04 07:19:00;29;drinks
2019-09-04 07:19:00;32;checkout
2019-09-04 07:19:00;34;dairy
2019-09-04 07:20:00;19;dairy
2019-09-04 07:20:00;20;spices
2019-09-04 07:20:00;23;checkout
2019-09-04 07:20:00;27;spices
2019-09-04 07:20:00;29;checkout
2019-09-04 07:20:00;31;checkout
2019-09-04 07:20:00;33;checkout
2019-09-04 07:20:00;34;spices
2019-09-04 07:20:00;35;drinks
2019-09-04 07:20:00;36;fruit
2019-09-04 07:20:00;37;fruit
2019-09-04 07:20:00;38;dairy
2019-09-04 07:20:00;39;dairy
2019-09-04 07:20:00;40;fruit
2019-09-04 07:20:00;41;spices
2019-09-04 07:21:00;20;dairy
2019-09-04 07:21:00;21;spices
2019-09-04 07:21:00;27;checkout
2019-09-04 07:21:00;34;dairy
2019-09-04 07:21:00;35;checkout
2019-09-04 07:21:00;38;checkout
2019-09-04 07:21:00;39;checkout
2019-09-04 07:22:00;21;drinks
2019-09-04 07:22:00;34;spices
2019-09-04 07:22:00;41;fruit
2019-09-04 07:22:00;42;fruit
